sampleID,relationshipID,year,location,municipality,deg_m_sN,deg_m_sE,locationID,ringID,age,sex,bm,wl,material,eggs,nestling,StableC,C_percent,StableN,N_percent,settlement,transport,fully_cultivated_land,infield_pasture,forest,open_land,bog,freshwater,sea,surface_cultivated_land,coniferous_forest,deciduous_forest,mixed_forest,tree_species_unknown,not_relevant,not_registered,impediment_forest_quality,low_forest_quality,medium_forest_quality,high_forest_quality,not_relevant_forest_quality,sea_distance_m,industry_distance_m,transport_settlement_distance_m,ski_arenas_distance_m,shooting_ranges_distance_m,Ag,Al,As,Au,B,Ba,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,K,La,Li,Lu,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Pb,Pr,Rb,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Tb,Th,Ti,Tl,U,V,W,Y,Yb,Zn
45_17,13Ad1,2017,Heggstad,Verdal,634731,113419,40,3026500,Juvenile,F,255,NA,Feathers,NA,NA,NA,NA,NA,NA,202167.0254,67446.40233,2061827.113,46731.75265,516544.9951,118645.8464,5910.38305,121355.02,0,0,310731.8091,162653.816,56690.65904,138057.3976,2452795.561,19699.29546,174979.5953,0,31592.57685,434529.0524,2499527.314,5675.126363,4312.666114,33.04036376,2855.268453,2855.268453,NA,4.1140901472,0.003288178,0.0015949186,0.2229426118,0.0305220278,0.0006331317,97.8414234028,NA,0.0026882938,0.0125927201,0.0600302435,0.0002990105,1.9059727292,0.0007353148,0.000226527,NA,14.0454473985,NA,NA,NA,0.5227406446,3.27356E-05,6.3412673218,0.0017063406,0.0193463031,NA,71.5227124091,0.1266374372,0.0466483258,3.1804526409,NA,0.001200251,0.016903538,454.560468853,0.006793283,0.000513703,0.015685839,23049.465801556,0.006471937,0.001493392,1.413079599,22.956032762,0.000286723,0.006147456,0.045294237,9.8655E-05,0.000882174,0.271291525,0.000538029,8.051E-05,0.009260102,0.002287148,0.002162963,7.3655E-05,28.145838867
46_17,13Ad2,2017,Heggstad,Verdal,634731,113419,40,3057401,Juvenile,F,255,NA,Feathers,NA,NA,NA,NA,NA,NA,202167.0254,67446.40233,2061827.113,46731.75265,516544.9951,118645.8464,5910.38305,121355.02,0,0,310731.8091,162653.816,56690.65904,138057.3976,2452795.561,19699.29546,174979.5953,0,31592.57685,434529.0524,2499527.314,5675.126363,4312.666114,33.04036376,2855.268453,2855.268453,NA,2.4826229491,0.0072161831,0.0019807792,0.1863340348,0.0105657917,0.0005944326,109.3871456756,NA,0.0019470871,0.0115503815,0.0434507705,0.0002832025,1.5890586544,0.0004642946,9.1385E-05,NA,13.5442516898,NA,NA,NA,0.5312790735,3.27356E-05,3.6368345732,0.0009217554,0.0203520088,NA,91.5104506441,0.1023591043,0.0609818961,4.6564059458,NA,0.000990752,0.016079869,509.149297162,0.009042824,0.000290225,0.007394288,22999.808005655,0.008048084,0.00063133,1.441435023,7.935605088,0.000188749,0.071773734,0.046393143,6.0441E-05,0.000370132,0.178853379,0.000641263,7.3657E-05,0.006191096,0.001123082,0.000945395,8.5115E-05,27.735015437
47_17,13Ad4,2017,Heggstad,Verdal,634731,113419,40,3057403,Juvenile,F,225,NA,Feathers,NA,NA,NA,NA,NA,NA,202167.0254,67446.40233,2061827.113,46731.75265,516544.9951,118645.8464,5910.38305,121355.02,0,0,310731.8091,162653.816,56690.65904,138057.3976,2452795.561,19699.29546,174979.5953,0,31592.57685,434529.0524,2499527.314,5675.126363,4312.666114,33.04036376,2855.268453,2855.268453,NA,3.9330686925,0.0084163208,0.0014364321,0.1862491619,0.0335208688,0.000601982,170.4740565992,NA,0.0020556504,0.0205921212,0.026837916,0.0002930091,2.2154829831,0.0002193616,0.000134087,NA,18.167610519,NA,NA,NA,0.5642936591,3.27356E-05,8.1814737038,0.000994491,0.0303438972,NA,155.3488780882,0.1832527316,0.0803443906,11.8330619912,NA,0.001641485,0.01307201,791.910673249,0.009153888,0.000215586,0.016432017,22398.300548811,0.006814185,0.001124699,1.712665817,9.245207136,0.000326774,0.011080977,0.066626829,6.8939E-05,0.00036207,0.394047702,0.001154814,0.000167968,0.006135258,0.001166757,0.000701297,0.000261481,41.282143275
48_17,9Ad1,2017,Asklund,Steinkjer,635618,112829,33,3057404,Juvenile,M,240,NA,Feathers,NA,NA,NA,NA,NA,NA,53051.63909,16209.4536,1001795.788,205061.0643,1777375.554,17707.64152,69221.95623,0,0,0,1562213.601,162233.6791,147835.7812,36737.14166,1071056.881,160346.0125,95201.72449,140485.6398,235659.1131,1392958.674,1276117.945,4486.459788,2626.643573,130.5213788,8969.05529,934.636052,NA,14.5378389465,0.003288178,0.0029146556,0.1473365681,0.1055157323,0.0021769814,110.746588424,NA,0.0236933682,0.0267447784,0.075404466,0.0018298042,2.1427772448,0.0018792045,0.0006890934,NA,22.5650523383,NA,NA,NA,0.6459384686,0.0002529772,7.6360974979,0.0148679841,0.0248804133,NA,92.3188912908,0.2225591723,0.1295848341,7.279377274,NA,0.012772847,0.035922102,701.947603662,0.028692526,0.002860548,0.026568442,22841.252450922,0.009306812,0.002958911,1.521013814,42.509130508,0.002778292,0.023958317,0.094322565,0.000347769,0.001763186,1.825432192,0.00113508,0.0103325,0.032257915,0.01416632,0.011645585,0.000604626,32.640421626
74_17,9ad1,2017,Asklund,Steinkjer,635618,112829,33,3057404,Juvenile,M,240,NA,Blood,NA,NA,NA,NA,NA,NA,53051.63909,16209.4536,1001795.788,205061.0643,1777375.554,17707.64152,69221.95623,0,0,0,1562213.601,162233.6791,147835.7812,36737.14166,1071056.881,160346.0125,95201.72449,140485.6398,235659.1131,1392958.674,1276117.945,4486.459788,2626.643573,130.5213788,8969.05529,934.636052,NA,0.8328497747,0.0140957237,0.0004081551,0.4894154564,0.9234489779,NA,32.6136300508,0.0040632768,0.0009825805,0.0107496193,0.016020634,0.0004161345,0.1189389514,NA,NA,NA,124.0150573777,NA,0.0001698046,NA,0.0026885555,NA,591.3857142102,NA,0.0110293697,NA,35.8781844597,0.0208084355,0.0195876985,3908.9521478143,NA,0.000910895,0.016204535,543.739425722,0.002506933,NA,0.875454286,2120.105042015,NA,NA,0.324403973,9.558369692,NA,0.003307875,0.033787529,NA,2.7252E-05,0.003425751,0.000174002,0.000132821,0.002546556,NA,0.001727468,NA,2.728024229
52_17,17Ad1,2017,Lyngstad,Inderøy,635416,111148,10,3057406,Juvenile,M,270,NA,Feathers,NA,NA,NA,NA,NA,NA,198337.0393,48454.17728,992997.3032,128244.4494,1703512.778,51080.9842,0,8408.521136,7098.256751,1669.957,1513101.568,67462.50417,122948.7054,51080.9842,1256965.255,128244.4494,90739.41747,442544.0316,993620.4239,227689.889,1385209.704,933.9832762,9711.430508,23.97115873,3454.871599,1599.88984,NA,20.2021349797,0.007803916,0.0121263441,0.0944165334,0.1165004601,0.0054467226,64.44091954,NA,0.0145753918,0.0150480783,0.0727090544,0.0018153866,1.6450085401,0.0009627917,0.0005876699,NA,21.2450006271,NA,NA,NA,0.9688141537,0.0002349425,5.7237722263,0.0059813905,0.0210043571,NA,47.1979782069,0.2237783912,0.0570441938,4.370192788,NA,0.006220628,0.020003054,424.687032451,0.012827864,0.001653294,0.028854286,24234.318288887,0.022097107,0.003230091,1.606879156,45.428139832,0.001292612,0.008641548,0.054020187,0.00019044,0.002450265,6.902551881,0.000973899,0.000711243,0.040572735,0.005983764,0.010036926,0.000527795,19.393175761
88_17,17Ad1,2017,Lyngstad,Inderøy,635416,111148,10,3057406,Juvenile,M,270,NA,Blood,NA,NA,NA,NA,NA,NA,198337.0393,48454.17728,992997.3032,128244.4494,1703512.778,51080.9842,0,8408.521136,7098.256751,1669.957,1513101.568,67462.50417,122948.7054,51080.9842,1256965.255,128244.4494,90739.41747,442544.0316,993620.4239,227689.889,1385209.704,933.9832762,9711.430508,23.97115873,3454.871599,1599.88984,NA,0.299746709,0.0068258596,0.0001368655,0.1834728188,0.124213933,NA,50.0939947782,0.0003424477,0.0001228595,0.0148050949,0.0035122265,0.0154376818,0.1589481258,NA,NA,NA,227.3723560196,NA,4.35255E-05,NA,0.032254469,NA,1062.4205306871,NA,0.0878183584,NA,61.6665592778,0.0408233884,0.0116297712,2733.8911996776,NA,7.1542E-05,0.004315761,843.162600809,0.001839401,NA,2.257504755,1716.267840176,NA,NA,0.415243231,4.306539982,NA,0.000837492,0.023447442,NA,1.2348E-05,0.001576176,0.000165293,3.0116E-05,0.000997327,NA,0.000139378,NA,3.79025026
51_17,10Ad2,2017,Lorås,Inderøy,635219,112243,9,3057407,Juvenile,M,295,NA,Feathers,NA,NA,NA,NA,NA,NA,122251.3918,45240.31574,1350725.39,253115.8224,816059.8416,74501.93731,24506.09305,8003.395333,435395.93,10404.109,674875.6393,120360.3852,45254.8349,74577.01261,1972020.532,253115.8224,90677.50374,16022.62012,416932.3248,391435.4234,2225136.354,583.9451856,3661.748006,0,1962.666956,1491.601898,NA,27.8591657659,0.007803916,0.0014305441,0.1037028926,0.1556802374,0.0015349554,71.8296195209,NA,0.0206018118,0.0150753029,0.068788347,0.002886212,1.7476238909,0.0019334641,0.0010213556,NA,23.133078747,NA,NA,NA,0.6544902604,0.0003727287,7.2717010729,0.0117221854,0.0314261503,NA,62.0329408268,0.2806619664,0.097697614,5.7497165092,NA,0.013167454,0.027321473,390.400356674,0.029182543,0.00315215,0.041863952,25382.202675452,0.012845331,0.006622829,1.25581819,61.92734197,0.0029558,0.023958431,0.089062104,0.000317553,0.005497316,1.723027771,0.001220318,0.003664114,0.043332023,0.001974968,0.008963353,0.000792297,20.912854799
87_17,10Ad2,2017,Lorås,Inderøy,635219,112243,9,3057407,Juvenile,M,295,NA,Blood,NA,NA,NA,NA,NA,NA,122251.3918,45240.31574,1350725.39,253115.8224,816059.8416,74501.93731,24506.09305,8003.395333,435395.93,10404.109,674875.6393,120360.3852,45254.8349,74577.01261,1972020.532,253115.8224,90677.50374,16022.62012,416932.3248,391435.4234,2225136.354,583.9451856,3661.748006,0,1962.666956,1491.601898,NA,0.77381113,0.011423468,0.0002028796,0.6136063836,0.4493998054,NA,34.3277427384,0.0003270224,0.0004328821,0.0081872255,0.0100550418,0.0011056668,0.0907897868,NA,NA,NA,109.2073001085,NA,6.04943E-05,NA,0.0067181191,NA,507.1625349421,NA,0.00311432,NA,30.489806585,0.0205446751,0.0138021666,4080.9242036444,NA,0.000387015,0.013998525,430.892596613,0.002491043,NA,0.715011601,2128.327149655,NA,NA,0.25678623,15.883152091,NA,0.002503874,0.032207011,NA,9.9813E-05,0.003425751,6.4076E-05,0.00013332,0.002405875,NA,0.000308634,NA,2.22376775
50_17,10Ad1,2017,Lorås,Inderøy,635219,112243,9,3057408,Juvenile,M,320,NA,Feathers,NA,NA,-24.49,46.92,9.18,15.45,122251.3918,45240.31574,1350725.39,253115.8224,816059.8416,74501.93731,24506.09305,8003.395333,435395.93,10404.109,674875.6393,120360.3852,45254.8349,74577.01261,1972020.532,253115.8224,90677.50374,16022.62012,416932.3248,391435.4234,2225136.354,583.9451856,3661.748006,0,1962.666956,1491.601898,NA,34.3417203564,0.007803916,0.0023047014,0.1171090903,0.1881991492,0.0045054697,137.240282302,NA,0.0266392932,0.0225403759,0.0973494714,0.0035463659,2.3203162442,0.0028999581,0.0015400107,NA,30.937289466,NA,NA,NA,0.4344497592,0.000478565,39.4520770508,0.0156694055,0.02719626,NA,126.1772145664,0.321714623,0.1450561752,48.7771182524,NA,0.018572761,0.032873522,582.958810306,0.019259265,0.004544325,0.104934842,25537.064519251,0.006674835,0.007807307,1.262348362,74.429923185,0.004179911,0.010544211,0.121630066,0.000507218,0.00650471,2.068649515,0.002256823,0.004567252,0.051758555,0.002494508,0.012304036,0.001282271,37.265318012
